-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us     519.373ms        60.74%     519.373ms      12.984ms            40  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us     393.318ms        46.00%     393.318ms      83.418us          4715  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     133.087ms        15.57%     133.087ms      39.143us          3400  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     132.878ms        15.54%     132.878ms      49.105us          2706  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     120.722ms        14.12%     120.722ms      17.965us          6720  
                  execute_context_1(40)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      60.375ms         7.06%      60.375ms      60.375ms             1  
                    vllm::unified_attention_with_output        18.78%     150.371ms        24.71%     197.810ms     192.797us      50.412ms         5.90%      50.464ms      49.185us          1026  
## Call CompiledFxGraph fogxrrx7ptc5qun47kozrv5cpv25...         0.00%       0.000us         0.00%       0.000us       0.000us      11.902ms         1.39%      11.902ms     743.885us            16  
                                        _C::marlin_gemm         0.70%       5.610ms         1.98%      15.863ms      62.698us       9.472ms         1.11%       9.472ms      37.440us           253  
## Call CompiledFxGraph fnlyzu27i6mzcfuxsxc52ggfz2ww...         0.00%       0.000us         0.00%       0.000us       0.000us       8.524ms         1.00%       8.524ms     710.314us            12  
                                            aten::copy_         3.02%      24.155ms         7.63%      61.073ms      18.037us       6.339ms         0.74%       6.341ms       1.873us          3386  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us       6.036ms         0.71%       6.036ms       3.591us          1681  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.813ms         0.68%       5.813ms       3.376us          1722  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       5.511ms         0.64%       5.511ms      27.148us           203  
                        triton_red_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       4.927ms         0.58%       4.927ms       2.861us          1722  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       3.961ms         0.46%       3.961ms      79.227us            50  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.620ms         0.42%       3.620ms       2.102us          1722  
