-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us       3.502ms         0.41%       3.502ms      14.237us           246  
                triton_poi_fused_gelu_marlin_gemm_mul_3         0.00%       0.000us         0.00%       0.000us       0.000us       3.344ms         0.39%       3.344ms       1.942us          1722  
                                             bmm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.082ms         0.36%       3.082ms      12.527us           246  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.043ms         0.36%       3.043ms       2.321us          1311  
## Call CompiledFxGraph fgjmv76rnqi3ranw3pygv75pmf47...         0.00%       0.000us         0.00%       0.000us       0.000us       2.969ms         0.35%       2.969ms     742.271us             4  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       2.638ms         0.31%       2.638ms       4.296us           614  
## Call CompiledFxGraph fs4asf7pc5rpnzz2tqk4d56jbumt...         0.00%       0.000us         0.00%       0.000us       0.000us       2.298ms         0.27%       2.298ms     766.004us             3  
## Call CompiledFxGraph fr7jcksuy3g3gdym5vpbmo74sga2...         0.00%       0.000us         0.00%       0.000us       0.000us       2.161ms         0.25%       2.161ms     720.468us             3  
## Call CompiledFxGraph ffoz5xl3wf32unygksle4vcimvmn...         0.00%       0.000us         0.00%       0.000us       0.000us       2.086ms         0.24%       2.086ms     695.402us             3  
                    triton_poi_fused_gelu_mul_slice_t_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.941ms         0.23%       1.941ms       1.972us           984  
                                     triton_poi_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us       1.909ms         0.22%       1.909ms       2.024us           943  
                                            aten::index         1.23%       9.809ms         2.95%      23.645ms      53.135us       1.771ms         0.21%       2.258ms       5.075us           445  
                      triton_per_fused_add_rms_norm_t_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         0.19%       1.640ms       1.667us           984  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us       1.615ms         0.19%       1.615ms       1.641us           984  
                                     triton_per_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.568ms         0.18%       1.568ms       1.663us           943  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       1.412ms         0.17%       1.412ms       1.913us           738  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       1.311ms         0.15%       1.311ms       1.776us           738  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.262ms         0.15%       1.262ms       5.130us           246  
                  triton_per_fused_add_mul_rms_norm_t_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.250ms         0.15%       1.250ms       1.694us           738  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.230ms         0.14%       1.230ms       5.001us           246  
      triton_per_fused_rms_norm_split_with_sizes_view_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.110ms         0.13%       1.110ms       1.505us           738  
                                           aten::argmax         0.27%       2.145ms         0.46%       3.651ms      45.072us       1.086ms         0.13%       1.086ms      13.411us            81  
                       triton_per_fused_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.080ms         0.13%       1.080ms       1.463us           738  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     987.236us         0.12%     987.236us      12.188us            81  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     970.398us         0.11%     970.398us       8.020us           121  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     782.341us         0.09%     782.341us       1.918us           408  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     682.266us         0.08%     682.266us       2.773us           246  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     622.433us         0.07%     622.433us       0.728us           855  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     566.431us         0.07%     566.431us       1.981us           286  
                                              aten::mul         0.19%       1.555ms         0.31%       2.478ms      20.143us     564.157us         0.07%     564.157us       4.587us           123  
## Call CompiledFxGraph fapw5gysqcvhidmsmwccw2mqzgno...         0.00%       0.000us         0.00%       0.000us       0.000us     563.711us         0.07%     563.711us     563.711us             1  
                                        cudaGraphLaunch         6.53%      52.239ms         6.53%      52.239ms      34.573us     555.391us         0.06%     555.391us       0.368us          1511  
                                  cudaStreamIsCapturing         0.29%       2.298ms         0.29%       2.298ms       0.752us     545.212us         0.06%     545.212us       0.179us          3054  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     536.956us         0.06%     536.956us       4.365us           123  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     528.163us         0.06%     528.163us       2.628us           201  
                             matmul_kernel_persistent_0         0.01%      95.973us         0.02%     151.476us      25.246us     515.648us         0.06%     515.648us      85.941us             6  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     441.380us         0.05%     441.380us       1.794us           246  
        triton_poi_fused__to_copy_cat_embedding_mul_t_0         0.00%       0.000us         0.00%       0.000us       0.000us     432.995us         0.05%     432.995us       1.760us           246  
                    triton_per_fused_add_mul_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     415.612us         0.05%     415.612us       1.689us           246  
## Call CompiledFxGraph f2pama4hthuzq4tdj55ndhpnwook...         0.00%       0.000us         0.00%       0.000us       0.000us     409.056us         0.05%     409.056us     409.056us             1  
                                              aten::div         0.08%     677.326us         0.14%       1.084ms      26.451us     407.264us         0.05%     407.264us       9.933us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     407.264us         0.05%     407.264us       9.933us            41  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     403.525us         0.05%     403.525us       1.640us           246  
                       triton_per_fused_rms_norm_view_2         0.00%       0.000us         0.00%       0.000us       0.000us     364.126us         0.04%     364.126us       1.480us           246  
                          triton_per_fused_rms_norm_t_1         0.00%       0.000us         0.00%       0.000us       0.000us     347.200us         0.04%     347.200us       1.411us           246  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     346.813us         0.04%     346.813us       8.459us            41  
                                             aten::tanh         0.06%     495.623us         0.11%     849.195us      20.712us     313.924us         0.04%     313.924us       7.657us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     313.924us         0.04%     313.924us       7.657us            41  
                             matmul_kernel_persistent_2         0.01%      53.642us         0.01%      82.204us      20.551us     277.919us         0.03%     277.919us      69.480us             4  
                                       cuLaunchKernelEx         1.99%      15.905ms         1.99%      15.905ms      10.776us     249.022us         0.03%     249.022us       0.169us          1476  
## Call CompiledFxGraph f6bfxq4cydu5hwfxml5jqaijfam5...         0.00%       0.000us         0.00%       0.000us       0.000us     238.144us         0.03%     238.144us     238.144us             1  
## Call CompiledFxGraph fivzldxqsosxl7tjwtwedjewyxoc...         0.00%       0.000us         0.00%       0.000us       0.000us     229.727us         0.03%     229.727us     229.727us             1  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     223.075us         0.03%     223.075us       0.926us           241  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     217.344us         0.03%     217.344us       2.651us            82  
                                     aten::index_select         0.23%       1.865ms         0.56%       4.456ms      36.230us     213.858us         0.03%     304.131us       2.473us           123  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     213.858us         0.03%     213.858us       5.346us            40  
## Call CompiledFxGraph fqpep3nzz6g6dvpg5l3qmioj3hbq...         0.00%       0.000us         0.00%       0.000us       0.000us     191.840us         0.02%     191.840us     191.840us             1  
## Call CompiledFxGraph f5qalr6tzel7x2xoepvrggq3gzga...         0.00%       0.000us         0.00%       0.000us       0.000us     190.432us         0.02%     190.432us     190.432us             1  
                                              aten::add         0.21%       1.690ms         0.34%       2.722ms      16.702us     190.400us         0.02%     190.400us       1.168us           163  
## Call CompiledFxGraph fzqkst5jxddes7sdkyqfyzyh4s5l...         0.00%       0.000us         0.00%       0.000us       0.000us     189.568us         0.02%     189.568us     189.568us             1  
                                         aten::scatter_         0.18%       1.428ms         0.26%       2.115ms      26.436us     179.871us         0.02%     179.871us       2.248us            80  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     179.871us         0.02%     179.871us       2.248us            80  
                                            aten::fill_         0.33%       2.604ms         0.49%       3.920ms       5.045us     169.786us         0.02%     169.786us       0.219us           777  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.786us         0.02%     169.786us       1.392us           122  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.08%     611.331us         0.11%     910.411us      22.205us     161.856us         0.02%     161.856us       3.948us            41  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.09%     760.148us         0.14%       1.104ms      26.277us     160.642us         0.02%     160.642us       3.825us            42  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.06%     475.803us         0.10%     804.865us      19.163us     151.007us         0.02%     151.007us       3.595us            42  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     148.899us         0.02%     148.899us       3.632us            41  
                               cudaEventRecordWithFlags         0.06%     503.262us         0.06%     503.262us       1.778us     140.830us         0.02%     140.830us       0.498us           283  
                        triton_red_fused_add_rms_norm_2         0.08%     659.591us         0.12%     982.843us      23.401us     139.234us         0.02%     139.234us       3.315us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     137.691us         0.02%     137.691us       1.679us            82  
                                 aten::_index_put_impl_         0.12%     931.502us         0.34%       2.744ms      66.926us     134.081us         0.02%     206.525us       5.037us            41  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.081us         0.02%     134.081us       3.270us            41  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     131.105us         0.02%     131.105us       1.599us            82  
                                            aten::where         0.13%       1.074ms         0.31%       2.458ms      29.971us     128.768us         0.02%     128.768us       1.570us            82  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.768us         0.02%     128.768us       1.570us            82  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     127.714us         0.01%     127.714us       3.115us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.735us         0.01%     124.735us       1.540us            81  
                             matmul_kernel_persistent_1         0.01%      68.532us         0.01%     112.015us      22.403us     124.608us         0.01%     124.608us      24.922us             5  
                         rejection_greedy_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     112.415us         0.01%     112.415us       2.810us            40  
                                              aten::cat         0.10%     783.540us         0.16%       1.257ms      30.669us     107.103us         0.01%     107.103us       2.612us            41  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     107.103us         0.01%     107.103us       2.612us            41  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     104.607us         0.01%     104.607us       2.551us            41  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 800.591ms
Self CUDA time total: 855.014ms

