-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     831.139us         0.19%     831.139us      10.014us            83  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     813.187us         0.19%     813.187us       2.657us           306  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     743.424us         0.17%     743.424us       1.725us           431  
          triton_poi_fused__to_copy_cat_embedding_mul_0         0.00%       0.000us         0.00%       0.000us       0.000us     711.451us         0.17%     711.451us       1.783us           399  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     693.950us         0.16%     693.950us       1.739us           399  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     658.294us         0.15%     658.294us       0.649us          1015  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     654.370us         0.15%     654.370us       1.665us           393  
                           _sparse_argmax_reduce_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     651.907us         0.15%     651.907us       1.634us           399  
                                             aten::topk         0.15%     983.011us         0.22%       1.423ms      22.595us     650.915us         0.15%     650.915us      10.332us            63  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     619.832us         0.14%     619.832us       2.469us           251  
                       triton_per_fused_rms_norm_view_2         0.00%       0.000us         0.00%       0.000us       0.000us     587.707us         0.14%     587.707us       1.473us           399  
                            triton_per_fused_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     560.888us         0.13%     560.888us       1.406us           399  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     455.265us         0.11%     455.265us       1.828us           249  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     394.821us         0.09%     394.821us       2.615us           151  
                      triton_poi_fused_gelu_mul_slice_1         0.37%       2.420ms         0.57%       3.720ms      14.533us     352.580us         0.08%     352.580us       1.377us           256  
                                      aten::index_copy_         0.10%     676.444us         0.18%       1.164ms      22.830us     344.926us         0.08%     344.926us       6.763us            51  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     344.926us         0.08%     344.926us       6.763us            51  
                    triton_per_fused_add_mul_rms_norm_2         0.62%       4.062ms         0.83%       5.428ms      21.202us     299.871us         0.07%     299.871us       1.171us           256  
                        triton_per_fused_add_rms_norm_0         0.63%       4.122ms         0.86%       5.672ms      22.158us     296.292us         0.07%     296.292us       1.157us           256  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.947us         0.07%     293.947us       4.522us            65  
                                     aten::index_select         0.22%       1.462ms         0.64%       4.179ms      27.313us     286.562us         0.07%     398.403us       2.604us           153  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     286.562us         0.07%     286.562us       5.731us            50  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     234.691us         0.05%     234.691us       2.301us           102  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     231.299us         0.05%     231.299us       0.768us           301  
                                         aten::scatter_         0.18%       1.213ms         0.31%       2.010ms      20.095us     226.725us         0.05%     226.725us       2.267us           100  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     226.725us         0.05%     226.725us       2.267us           100  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.39%       2.537ms         0.53%       3.500ms      18.229us     218.116us         0.05%     218.116us       1.136us           192  
                                              aten::mul         0.19%       1.221ms         0.30%       1.988ms      19.487us     217.377us         0.05%     217.377us       2.131us           102  
                                              aten::add         0.29%       1.916ms         0.48%       3.133ms      15.433us     215.934us         0.05%     215.934us       1.064us           203  
                                        cudaGraphLaunch         8.09%      53.164ms         8.67%      56.948ms      96.850us     203.265us         0.05%     203.265us       0.346us           588  
                       triton_per_fused_rms_norm_view_3         0.26%       1.720ms         0.41%       2.693ms      14.028us     200.032us         0.05%     200.032us       1.042us           192  
                                  cudaStreamIsCapturing         0.27%       1.745ms         0.27%       1.745ms       0.687us     184.161us         0.04%     184.161us       0.073us          2539  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     183.203us         0.04%     183.203us       3.592us            51  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.10%     628.077us         0.14%     898.357us      24.280us     160.255us         0.04%     160.255us       4.331us            37  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     158.596us         0.04%     158.596us       1.555us           102  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.08%     505.416us         0.11%     732.493us      20.347us     156.957us         0.04%     156.957us       4.360us            36  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.06%     375.247us         0.10%     648.277us      17.521us     156.607us         0.04%     156.607us       4.233us            37  
