-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      92.709ms        90.57%      92.709ms      92.709ms             1  
                                        _C::marlin_gemm         7.30%      11.931ms        20.48%      33.472ms      66.149us      78.261ms        76.46%      78.261ms     154.665us           506  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.878ms        68.27%      69.878ms     267.731us           261  
                  execute_context_1(52)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      48.978ms        47.85%      48.978ms      48.978ms             1  
## Call CompiledFxGraph fvdcvq6634rk2dljtuzho5kd6eyl...         0.00%       0.000us         0.00%       0.000us       0.000us      37.005ms        36.15%      37.005ms       1.156ms            32  
## Call CompiledFxGraph f5yv4wte7hd57ao56bvezpebn35n...         0.00%       0.000us         0.00%       0.000us       0.000us      28.693ms        28.03%      28.693ms       1.196ms            24  
## Call CompiledFxGraph fkunzefjljkjwlffwrxei5e5tosq...         0.00%       0.000us         0.00%       0.000us       0.000us      10.002ms         9.77%      10.002ms       1.250ms             8  
                    vllm::unified_attention_with_output        13.73%      22.434ms        17.91%      29.271ms     221.751us       8.533ms         8.34%       8.533ms      64.640us           132  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us       8.419ms         8.22%       8.419ms      63.782us           132  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       8.383ms         8.19%       8.383ms      34.216us           245  
## Call CompiledFxGraph f657oau2epdrgtlrh7hadptitcqh...         0.00%       0.000us         0.00%       0.000us       0.000us       7.651ms         7.47%       7.651ms       1.275ms             6  
## Call CompiledFxGraph ftvviwnr6terj346tlererexugbv...         0.00%       0.000us         0.00%       0.000us       0.000us       7.526ms         7.35%       7.526ms       1.254ms             6  
## Call CompiledFxGraph ffvsmuj27ijkj2xhhumviumcknj6...         0.00%       0.000us         0.00%       0.000us       0.000us       7.100ms         6.94%       7.100ms       1.183ms             6  
                                               aten::mm         0.79%       1.290ms         1.13%       1.846ms      48.574us       6.090ms         5.95%       6.090ms     160.261us            38  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       5.570ms         5.44%       5.570ms       2.785ms             2  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.61%     998.346us         1.01%       1.654ms      19.691us       2.939ms         2.87%       2.939ms      34.982us            84  
