-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     860.997us         0.19%     860.997us       2.657us           324  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     825.122us         0.18%     825.122us       9.941us            83  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     780.954us         0.17%     780.954us       1.716us           455  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     732.576us         0.16%     732.576us       1.744us           420  
          triton_poi_fused__to_copy_cat_embedding_mul_0         0.00%       0.000us         0.00%       0.000us       0.000us     731.485us         0.16%     731.485us       1.742us           420  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     705.442us         0.16%     705.442us       0.656us          1075  
                           _sparse_argmax_reduce_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     683.615us         0.15%     683.615us       1.628us           420  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     669.468us         0.15%     669.468us       1.617us           414  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.510us         0.15%     652.510us       2.453us           266  
                                             aten::topk         0.15%       1.043ms         0.22%       1.502ms      23.838us     639.872us         0.14%     639.872us      10.157us            63  
                       triton_per_fused_rms_norm_view_2         0.00%       0.000us         0.00%       0.000us       0.000us     618.508us         0.14%     618.508us       1.473us           420  
                            triton_per_fused_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     588.779us         0.13%     588.779us       1.402us           420  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     456.321us         0.10%     456.321us       1.833us           249  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     422.560us         0.09%     422.560us       2.641us           160  
                                      aten::index_copy_         0.11%     769.186us         0.19%       1.318ms      24.410us     349.635us         0.08%     349.635us       6.475us            54  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     349.635us         0.08%     349.635us       6.475us            54  
                      triton_poi_fused_gelu_mul_slice_1         0.35%       2.427ms         0.55%       3.744ms      14.625us     328.422us         0.07%     328.422us       1.283us           256  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     313.922us         0.07%     313.922us       4.617us            68  
                    triton_per_fused_add_mul_rms_norm_2         0.58%       3.962ms         0.77%       5.285ms      20.644us     300.544us         0.07%     300.544us       1.174us           256  
                        triton_per_fused_add_rms_norm_0         0.58%       3.997ms         0.81%       5.566ms      21.744us     297.091us         0.07%     297.091us       1.161us           256  
                                     aten::index_select         0.24%       1.618ms         0.68%       4.659ms      28.761us     292.444us         0.07%     406.719us       2.511us           162  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     292.444us         0.07%     292.444us       5.518us            53  
