2026/06/18 18:58:10.728, 1710, 6251, 39, 65.41, 0
2026/06/18 18:58:10.983, 1710, 6251, 39, 65.41, 0
2026/06/18 18:58:11.233, 1710, 6251, 39, 65.41, 0
2026/06/18 18:58:11.484, 1710, 6251, 39, 65.41, 0
2026/06/18 18:58:11.734, 1710, 6251, 39, 65.20, 0
2026/06/18 18:58:11.984, 1710, 6251, 39, 65.20, 0
2026/06/18 18:58:12.234, 1710, 6251, 39, 65.20, 0
2026/06/18 18:58:12.484, 1710, 6251, 39, 65.20, 0
2026/06/18 18:58:12.734, 1710, 6251, 39, 65.39, 0
2026/06/18 18:58:12.984, 1710, 6251, 39, 65.39, 0
2026/06/18 18:58:13.234, 1710, 6251, 39, 65.39, 0
2026/06/18 18:58:13.485, 1710, 6251, 39, 65.39, 0
2026/06/18 18:58:13.735, 1710, 6251, 39, 65.61, 0
2026/06/18 18:58:13.985, 1710, 6251, 39, 65.61, 0
2026/06/18 18:58:14.235, 1710, 6251, 39, 65.61, 0
2026/06/18 18:58:14.485, 1710, 6251, 39, 65.61, 0
2026/06/18 18:58:14.735, 1710, 6251, 39, 65.55, 0
2026/06/18 18:58:14.985, 1710, 6251, 39, 65.55, 0
2026/06/18 18:58:15.235, 1710, 6251, 39, 65.55, 0
2026/06/18 18:58:15.485, 1710, 6251, 39, 65.55, 0
2026/06/18 18:58:15.735, 1710, 6251, 39, 65.58, 0
2026/06/18 18:58:15.986, 1710, 6251, 39, 65.58, 0
2026/06/18 18:58:16.236, 1710, 6251, 39, 65.58, 0
2026/06/18 18:58:16.486, 1710, 6251, 39, 65.58, 0
2026/06/18 18:58:16.736, 1710, 6251, 39, 65.73, 0
2026/06/18 18:58:16.986, 1710, 6251, 39, 65.73, 0
2026/06/18 18:58:17.236, 1710, 6251, 39, 65.73, 0
2026/06/18 18:58:17.486, 1710, 6251, 39, 65.73, 0
2026/06/18 18:58:17.736, 1710, 6251, 39, 65.42, 0
2026/06/18 18:58:17.986, 1710, 6251, 39, 65.42, 0
2026/06/18 18:58:18.236, 1710, 6251, 39, 65.42, 0
2026/06/18 18:58:18.487, 1710, 6251, 40, 69.32, 59
2026/06/18 18:58:18.737, 1710, 6251, 42, 86.67, 100
2026/06/18 18:58:18.987, 1710, 6251, 43, 98.36, 100
2026/06/18 18:58:19.237, 1710, 6251, 43, 103.02, 100
2026/06/18 18:58:19.487, 1710, 6251, 43, 143.44, 100
2026/06/18 18:58:19.737, 1710, 6251, 43, 145.11, 100
2026/06/18 18:58:19.987, 1710, 6251, 43, 146.02, 100
2026/06/18 18:58:20.237, 1710, 6251, 43, 146.23, 100
2026/06/18 18:58:20.487, 1710, 6251, 43, 146.81, 100
2026/06/18 18:58:20.737, 1710, 6251, 44, 146.06, 100
2026/06/18 18:58:20.988, 1710, 6251, 44, 147.22, 100
2026/06/18 18:58:21.238, 1710, 6251, 44, 146.85, 100
2026/06/18 18:58:21.488, 1710, 6251, 45, 148.51, 100
2026/06/18 18:58:21.738, 1710, 6251, 44, 150.52, 100
2026/06/18 18:58:21.988, 1710, 6251, 45, 153.47, 100
2026/06/18 18:58:22.238, 1710, 6251, 44, 153.90, 100
2026/06/18 18:58:22.488, 1710, 6251, 44, 152.95, 100
2026/06/18 18:58:22.738, 1710, 6251, 44, 150.48, 100
2026/06/18 18:58:22.988, 1710, 6251, 45, 145.89, 100
2026/06/18 18:58:23.239, 1710, 6251, 45, 146.07, 100
2026/06/18 18:58:23.489, 1710, 6251, 45, 147.87, 100
2026/06/18 18:58:23.739, 1710, 6251, 45, 144.21, 100
2026/06/18 18:58:23.989, 1710, 6251, 45, 145.30, 97
2026/06/18 18:58:24.239, 1710, 6251, 45, 146.55, 100
2026/06/18 18:58:24.489, 1710, 6251, 45, 149.86, 100
2026/06/18 18:58:24.739, 1710, 6251, 45, 152.24, 100
2026/06/18 18:58:24.989, 1710, 6251, 45, 152.53, 100
2026/06/18 18:58:25.239, 1710, 6251, 45, 151.42, 100
2026/06/18 18:58:25.490, 1710, 6251, 46, 151.93, 100
2026/06/18 18:58:25.740, 1710, 6251, 45, 148.05, 100
2026/06/18 18:58:25.990, 1710, 6251, 46, 145.42, 100
2026/06/18 18:58:26.240, 1710, 6251, 46, 145.96, 100
2026/06/18 18:58:26.490, 1710, 6251, 46, 144.04, 100
2026/06/18 18:58:26.740, 1710, 6251, 46, 148.13, 97
2026/06/18 18:58:26.990, 1710, 6251, 46, 148.93, 100
2026/06/18 18:58:27.240, 1710, 6251, 46, 148.90, 100
2026/06/18 18:58:27.490, 1710, 6251, 46, 155.68, 100
2026/06/18 18:58:27.741, 1710, 6251, 46, 159.34, 100
2026/06/18 18:58:27.991, 1710, 6251, 46, 161.96, 100
2026/06/18 18:58:28.241, 1710, 6251, 46, 166.57, 100
2026/06/18 18:58:28.491, 1710, 6251, 46, 162.32, 100
2026/06/18 18:58:28.741, 1710, 6251, 46, 157.43, 100
2026/06/18 18:58:28.991, 1710, 6251, 46, 154.74, 100
2026/06/18 18:58:29.241, 1710, 6251, 46, 149.70, 100
2026/06/18 18:58:29.491, 1710, 6251, 46, 147.58, 100
2026/06/18 18:58:29.741, 1710, 6251, 46, 149.90, 100
2026/06/18 18:58:29.991, 1710, 6251, 47, 147.43, 100
2026/06/18 18:58:30.242, 1710, 6251, 47, 148.17, 100
2026/06/18 18:58:30.492, 1710, 6251, 47, 146.32, 100
2026/06/18 18:58:30.742, 1710, 6251, 47, 145.01, 100
2026/06/18 18:58:30.992, 1710, 6251, 47, 155.52, 100
2026/06/18 18:58:31.242, 1710, 6251, 47, 156.55, 100
2026/06/18 18:58:31.492, 1710, 6251, 47, 155.09, 100
2026/06/18 18:58:31.742, 1710, 6251, 47, 152.99, 100
2026/06/18 18:58:31.992, 1710, 6251, 47, 147.97, 100
2026/06/18 18:58:32.242, 1710, 6251, 47, 145.89, 100
2026/06/18 18:58:32.493, 1710, 6251, 47, 148.29, 100
2026/06/18 18:58:32.743, 1710, 6251, 47, 149.36, 100
2026/06/18 18:58:32.993, 1710, 6251, 47, 149.55, 100
2026/06/18 18:58:33.243, 1710, 6251, 47, 146.57, 100
2026/06/18 18:58:33.493, 1710, 6251, 47, 145.47, 100
2026/06/18 18:58:33.743, 1710, 6251, 47, 147.60, 100
2026/06/18 18:58:33.993, 1710, 6251, 48, 149.07, 97
2026/06/18 18:58:34.243, 1710, 6251, 48, 151.25, 100
2026/06/18 18:58:34.493, 1710, 6251, 48, 151.46, 100
2026/06/18 18:58:34.744, 1710, 6251, 48, 154.91, 100
2026/06/18 18:58:34.994, 1710, 6251, 48, 158.37, 100
2026/06/18 18:58:35.244, 1710, 6251, 48, 155.14, 100
2026/06/18 18:58:35.494, 1710, 6251, 48, 154.20, 100
2026/06/18 18:58:35.744, 1710, 6251, 48, 152.49, 100
2026/06/18 18:58:35.994, 1710, 6251, 48, 150.13, 100
2026/06/18 18:58:36.244, 1710, 6251, 48, 151.40, 100
2026/06/18 18:58:36.494, 1710, 6251, 48, 150.65, 100
2026/06/18 18:58:36.744, 1710, 6251, 48, 153.75, 100
2026/06/18 18:58:36.994, 1710, 6251, 48, 152.11, 100
2026/06/18 18:58:37.245, 1710, 6251, 48, 147.73, 100
2026/06/18 18:58:37.495, 1710, 6251, 48, 149.49, 100
2026/06/18 18:58:37.745, 1710, 6251, 48, 150.20, 100
2026/06/18 18:58:37.995, 1710, 6251, 48, 151.99, 100
2026/06/18 18:58:38.245, 1710, 6251, 48, 150.00, 100
2026/06/18 18:58:38.495, 1710, 6251, 48, 157.02, 100
2026/06/18 18:58:38.745, 1710, 6251, 48, 160.59, 100
2026/06/18 18:58:38.995, 1710, 6251, 48, 159.93, 100
2026/06/18 18:58:39.245, 1710, 6251, 48, 159.12, 100
2026/06/18 18:58:39.496, 1710, 6251, 48, 151.58, 100
2026/06/18 18:58:39.746, 1710, 6251, 48, 150.20, 100
2026/06/18 18:58:39.996, 1710, 6251, 48, 147.17, 100
2026/06/18 18:58:40.246, 1710, 6251, 48, 145.84, 100
2026/06/18 18:58:40.496, 1710, 6251, 48, 147.05, 100
2026/06/18 18:58:40.746, 1710, 6251, 48, 148.39, 100
2026/06/18 18:58:40.996, 1710, 6251, 49, 155.53, 100
2026/06/18 18:58:41.246, 1710, 6251, 49, 153.48, 100
2026/06/18 18:58:41.496, 1710, 6251, 49, 155.19, 100
2026/06/18 18:58:41.746, 1710, 6251, 49, 155.59, 100
2026/06/18 18:58:41.996, 1710, 6251, 49, 149.24, 100
2026/06/18 18:58:42.247, 1710, 6251, 49, 149.82, 100
2026/06/18 18:58:42.497, 1710, 6251, 49, 150.98, 100
2026/06/18 18:58:42.747, 1710, 6251, 49, 148.61, 100
2026/06/18 18:58:42.997, 1710, 6251, 49, 148.28, 100
2026/06/18 18:58:43.247, 1710, 6251, 49, 149.65, 100
2026/06/18 18:58:43.497, 1710, 6251, 49, 149.30, 100
2026/06/18 18:58:43.747, 1710, 6251, 49, 148.26, 100
2026/06/18 18:58:43.997, 1710, 6251, 49, 148.70, 100
2026/06/18 18:58:44.247, 1710, 6251, 49, 147.67, 96
2026/06/18 18:58:44.497, 1710, 6251, 49, 150.73, 100
2026/06/18 18:58:44.748, 1710, 6251, 49, 152.23, 100
2026/06/18 18:58:44.998, 1710, 6251, 49, 155.23, 100
2026/06/18 18:58:45.248, 1710, 6251, 49, 155.23, 100
2026/06/18 18:58:45.498, 1710, 6251, 49, 150.81, 100
2026/06/18 18:58:45.748, 1710, 6251, 49, 149.25, 100
2026/06/18 18:58:45.998, 1710, 6251, 49, 147.96, 100
2026/06/18 18:58:46.248, 1710, 6251, 49, 148.14, 100
2026/06/18 18:58:46.498, 1710, 6251, 49, 150.50, 100
2026/06/18 18:58:46.749, 1710, 6251, 49, 151.60, 100
2026/06/18 18:58:46.999, 1710, 6251, 49, 151.05, 100
2026/06/18 18:58:47.249, 1710, 6251, 50, 150.52, 97
2026/06/18 18:58:47.499, 1710, 6251, 50, 154.99, 100
2026/06/18 18:58:47.749, 1710, 6251, 50, 156.70, 100
2026/06/18 18:58:47.999, 1710, 6251, 50, 157.63, 100
2026/06/18 18:58:48.249, 1710, 6251, 50, 156.18, 100
2026/06/18 18:58:48.499, 1710, 6251, 49, 152.09, 100
2026/06/18 18:58:48.750, 1710, 6251, 50, 149.79, 100
2026/06/18 18:58:49.000, 1710, 6251, 50, 150.76, 100
2026/06/18 18:58:49.250, 1710, 6251, 50, 148.94, 100
2026/06/18 18:58:49.500, 1710, 6251, 50, 149.35, 100
2026/06/18 18:58:49.750, 1710, 6251, 50, 149.05, 100
2026/06/18 18:58:50.000, 1710, 6251, 50, 149.67, 100
2026/06/18 18:58:50.250, 1710, 6251, 50, 154.77, 97
2026/06/18 18:58:50.500, 1710, 6251, 50, 160.96, 100
2026/06/18 18:58:50.751, 1710, 6251, 50, 161.74, 100
2026/06/18 18:58:51.001, 1710, 6251, 50, 167.12, 100
2026/06/18 18:58:51.251, 1710, 6251, 50, 167.69, 100
2026/06/18 18:58:51.501, 1710, 6251, 50, 160.02, 100
2026/06/18 18:58:51.751, 1710, 6251, 50, 155.83, 100
2026/06/18 18:58:52.001, 1710, 6251, 50, 152.75, 100
2026/06/18 18:58:52.251, 1710, 6251, 50, 149.87, 100
2026/06/18 18:58:52.501, 1710, 6251, 50, 154.89, 100
2026/06/18 18:58:52.751, 1710, 6251, 50, 156.02, 100
2026/06/18 18:58:53.001, 1710, 6251, 50, 156.59, 100
2026/06/18 18:58:53.252, 1710, 6251, 50, 155.95, 100
2026/06/18 18:58:53.502, 1710, 6251, 50, 153.84, 100
2026/06/18 18:58:53.752, 1710, 6251, 50, 151.40, 100
2026/06/18 18:58:54.002, 1710, 6251, 50, 150.64, 100
2026/06/18 18:58:54.252, 1710, 6251, 50, 150.59, 100
2026/06/18 18:58:54.502, 1710, 6251, 50, 154.28, 100
2026/06/18 18:58:54.752, 1710, 6251, 50, 154.65, 100
2026/06/18 18:58:55.002, 1710, 6251, 50, 150.07, 100
2026/06/18 18:58:55.252, 1710, 6251, 50, 152.63, 100
2026/06/18 18:58:55.503, 1710, 6251, 50, 152.05, 100
2026/06/18 18:58:55.753, 1710, 6251, 50, 154.02, 100
2026/06/18 18:58:56.003, 1710, 6251, 50, 153.38, 100
2026/06/18 18:58:56.253, 1710, 6251, 50, 150.03, 100
2026/06/18 18:58:56.503, 1710, 6251, 51, 151.08, 97
2026/06/18 18:58:56.753, 1710, 6251, 51, 156.00, 100
2026/06/18 18:58:57.003, 1710, 6251, 51, 155.42, 100
2026/06/18 18:58:57.253, 1710, 6251, 51, 154.76, 100
2026/06/18 18:58:57.503, 1710, 6251, 51, 160.30, 100
2026/06/18 18:58:57.754, 1710, 6251, 51, 161.64, 100
2026/06/18 18:58:58.004, 1710, 6251, 51, 165.60, 100
2026/06/18 18:58:58.254, 1710, 6251, 51, 168.46, 100
2026/06/18 18:58:58.504, 1710, 6251, 51, 163.15, 100
2026/06/18 18:58:58.754, 1710, 6251, 51, 159.38, 100
2026/06/18 18:58:59.004, 1710, 6251, 51, 155.88, 100
2026/06/18 18:58:59.254, 1710, 6251, 51, 153.56, 100
2026/06/18 18:58:59.504, 1710, 6251, 51, 152.63, 100
2026/06/18 18:58:59.754, 1710, 6251, 51, 152.95, 100
2026/06/18 18:59:00.005, 1710, 6251, 51, 150.06, 100
2026/06/18 18:59:00.255, 1710, 6251, 51, 151.99, 100
2026/06/18 18:59:00.505, 1710, 6251, 51, 151.56, 100
2026/06/18 18:59:00.755, 1710, 6251, 51, 149.67, 100
2026/06/18 18:59:01.005, 1710, 6251, 51, 152.25, 97
2026/06/18 18:59:01.255, 1710, 6251, 51, 150.74, 100
2026/06/18 18:59:01.505, 1710, 6251, 51, 154.12, 100
2026/06/18 18:59:01.755, 1710, 6251, 51, 155.00, 100
2026/06/18 18:59:02.006, 1710, 6251, 51, 152.50, 100
2026/06/18 18:59:02.256, 1710, 6251, 51, 150.59, 100
2026/06/18 18:59:02.506, 1710, 6251, 51, 147.42, 100
2026/06/18 18:59:02.756, 1710, 6251, 51, 145.97, 100
2026/06/18 18:59:03.006, 1710, 6251, 51, 148.74, 100
2026/06/18 18:59:03.256, 1710, 6251, 51, 149.04, 100
2026/06/18 18:59:03.506, 1710, 6251, 51, 152.07, 100
2026/06/18 18:59:03.756, 1710, 6251, 51, 152.75, 100
2026/06/18 18:59:04.006, 1710, 6251, 51, 149.36, 100
2026/06/18 18:59:04.257, 1710, 6251, 51, 148.98, 100
2026/06/18 18:59:04.507, 1710, 6251, 51, 148.80, 100
2026/06/18 18:59:04.757, 1710, 6251, 51, 150.99, 100
2026/06/18 18:59:05.007, 1710, 6251, 51, 152.05, 92
2026/06/18 18:59:05.257, 1710, 6251, 51, 153.59, 100
2026/06/18 18:59:05.507, 1710, 6251, 51, 152.68, 100
2026/06/18 18:59:05.757, 1710, 6251, 51, 151.44, 100
2026/06/18 18:59:06.007, 1710, 6251, 51, 152.24, 100
2026/06/18 18:59:06.257, 1710, 6251, 51, 153.03, 100
2026/06/18 18:59:06.507, 1710, 6251, 51, 149.96, 100
2026/06/18 18:59:06.758, 1710, 6251, 51, 149.09, 100
2026/06/18 18:59:07.008, 1710, 6251, 51, 150.86, 100
2026/06/18 18:59:07.258, 1710, 6251, 51, 148.89, 100
2026/06/18 18:59:07.508, 1710, 6251, 51, 147.81, 100
2026/06/18 18:59:07.758, 1710, 6251, 51, 147.93, 100
2026/06/18 18:59:08.008, 1710, 6251, 51, 145.53, 100
2026/06/18 18:59:08.258, 1710, 6251, 51, 147.39, 100
2026/06/18 18:59:08.508, 1710, 6251, 51, 148.18, 100
2026/06/18 18:59:08.758, 1710, 6251, 51, 148.88, 100
2026/06/18 18:59:09.009, 1710, 6251, 51, 147.31, 100
2026/06/18 18:59:09.259, 1710, 6251, 51, 145.94, 100
2026/06/18 18:59:09.509, 1710, 6251, 51, 147.43, 100
2026/06/18 18:59:09.759, 1710, 6251, 51, 149.03, 100
2026/06/18 18:59:10.009, 1710, 6251, 51, 149.03, 100
2026/06/18 18:59:10.259, 1710, 6251, 51, 152.71, 100
2026/06/18 18:59:10.509, 1710, 6251, 51, 153.60, 100
2026/06/18 18:59:10.759, 1710, 6251, 51, 149.06, 100
2026/06/18 18:59:11.009, 1710, 6251, 51, 150.02, 100
2026/06/18 18:59:11.259, 1710, 6251, 51, 149.62, 100
2026/06/18 18:59:11.510, 1710, 6251, 51, 150.37, 100
2026/06/18 18:59:11.760, 1710, 6251, 51, 150.29, 100
2026/06/18 18:59:12.010, 1710, 6251, 52, 154.10, 100
2026/06/18 18:59:12.260, 1710, 6251, 52, 152.37, 100
2026/06/18 18:59:12.510, 1710, 6251, 52, 152.79, 100
2026/06/18 18:59:12.760, 1710, 6251, 52, 155.13, 100
2026/06/18 18:59:13.010, 1710, 6251, 52, 150.70, 100
2026/06/18 18:59:13.261, 1710, 6251, 52, 151.61, 100
2026/06/18 18:59:13.511, 1710, 6251, 51, 149.46, 100
2026/06/18 18:59:13.761, 1710, 6251, 52, 151.23, 100
2026/06/18 18:59:14.011, 1710, 6251, 51, 147.85, 100
2026/06/18 18:59:14.261, 1710, 6251, 51, 149.25, 100
2026/06/18 18:59:14.511, 1710, 6251, 51, 150.51, 100
2026/06/18 18:59:14.762, 1710, 6251, 51, 150.16, 100
2026/06/18 18:59:15.012, 1710, 6251, 52, 148.32, 100
2026/06/18 18:59:15.262, 1710, 6251, 51, 146.05, 100
2026/06/18 18:59:15.512, 1710, 6251, 52, 149.70, 100
2026/06/18 18:59:15.762, 1710, 6251, 52, 150.91, 100
2026/06/18 18:59:16.012, 1710, 6251, 52, 150.78, 100
2026/06/18 18:59:16.262, 1710, 6251, 52, 150.32, 100
2026/06/18 18:59:16.512, 1710, 6251, 52, 150.07, 100
2026/06/18 18:59:16.763, 1710, 6251, 52, 145.80, 100
