-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us       1.616ms         0.28%       1.616ms       1.642us           984  
                                     triton_per_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.560ms         0.27%       1.560ms       1.654us           943  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       1.431ms         0.25%       1.431ms       1.940us           738  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.406ms         0.24%       1.406ms       5.714us           246  
                      triton_poi_fused_gelu_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.378ms         0.24%       1.378ms       1.400us           984  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.350ms         0.23%       1.350ms       1.829us           738  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       1.315ms         0.23%       1.315ms       1.781us           738  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.297ms         0.23%       1.297ms       5.271us           246  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.263ms         0.22%       1.263ms       5.132us           246  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.199ms         0.21%       1.199ms       4.872us           246  
      triton_per_fused_rms_norm_split_with_sizes_view_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.114ms         0.19%       1.114ms       1.510us           738  
                                           aten::argmax         0.35%       2.178ms         0.59%       3.674ms      45.362us       1.087ms         0.19%       1.087ms      13.417us            81  
                       triton_per_fused_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.076ms         0.19%       1.076ms       1.459us           738  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     987.618us         0.17%     987.618us      12.193us            81  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     979.389us         0.17%     979.389us       8.094us           121  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     782.429us         0.14%     782.429us       1.918us           408  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     682.978us         0.12%     682.978us       2.776us           246  
## Call CompiledFxGraph f6own4ekw67vok6qxjpzt5xtmq3x...         0.00%       0.000us         0.00%       0.000us       0.000us     606.559us         0.11%     606.559us     606.559us             1  
                                              aten::mul         0.25%       1.592ms         0.41%       2.546ms      20.697us     558.429us         0.10%     558.429us       4.540us           123  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     547.905us         0.10%     547.905us       1.916us           286  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     538.968us         0.09%     538.968us       0.630us           855  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     537.087us         0.09%     537.087us       4.367us           123  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     519.874us         0.09%     519.874us       2.586us           201  
## Call CompiledFxGraph fnma7rf33asb4cbsf6n5rtjdqy4y...         0.00%       0.000us         0.00%       0.000us       0.000us     471.583us         0.08%     471.583us     235.791us             2  
          triton_poi_fused__to_copy_cat_embedding_mul_0         0.00%       0.000us         0.00%       0.000us       0.000us     432.795us         0.08%     432.795us       1.759us           246  
## Call CompiledFxGraph fkbbv2vgk3zpr6n76rnwkbbeohou...         0.00%       0.000us         0.00%       0.000us       0.000us     415.711us         0.07%     415.711us     415.711us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     415.140us         0.07%     415.140us       1.688us           246  
## Call CompiledFxGraph fooeb243uqw3rejw3tozphg4iwmp...         0.00%       0.000us         0.00%       0.000us       0.000us     406.976us         0.07%     406.976us     406.976us             1  
                                              aten::div         0.11%     658.318us         0.17%       1.062ms      25.893us     406.781us         0.07%     406.781us       9.921us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     406.781us         0.07%     406.781us       9.921us            41  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     402.274us         0.07%     402.274us       1.635us           246  
                       triton_per_fused_rms_norm_view_2         0.00%       0.000us         0.00%       0.000us       0.000us     362.968us         0.06%     362.968us       1.475us           246  
                            triton_per_fused_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     343.073us         0.06%     343.073us       1.395us           246  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     341.021us         0.06%     341.021us       8.318us            41  
## Call CompiledFxGraph fyloyru3igblptrexx4euvooy73z...         0.00%       0.000us         0.00%       0.000us       0.000us     330.720us         0.06%     330.720us     330.720us             1  
                                             aten::tanh         0.07%     442.670us         0.13%     783.276us      19.104us     320.863us         0.06%     320.863us       7.826us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     320.863us         0.06%     320.863us       7.826us            41  
                                  cudaStreamIsCapturing         0.37%       2.298ms         0.37%       2.298ms       0.753us     243.997us         0.04%     243.997us       0.080us          3054  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     217.408us         0.04%     217.408us       2.651us            82  
                                     aten::index_select         0.25%       1.555ms         0.67%       4.171ms      33.912us     214.976us         0.04%     305.345us       2.482us           123  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     214.976us         0.04%     214.976us       5.374us            40  
                                              aten::add         0.28%       1.727ms         0.44%       2.760ms      16.933us     190.713us         0.03%     190.713us       1.170us           163  
                                         aten::scatter_         0.20%       1.240ms         0.31%       1.936ms      24.205us     179.105us         0.03%     179.105us       2.239us            80  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     179.105us         0.03%     179.105us       2.239us            80  
                                            aten::fill_         0.42%       2.646ms         0.64%       3.980ms       5.122us     169.408us         0.03%     169.408us       0.218us           777  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.408us         0.03%     169.408us       1.389us           122  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.10%     645.041us         0.15%     941.213us      22.956us     162.367us         0.03%     162.367us       3.960us            41  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.13%     798.468us         0.18%       1.145ms      27.264us     161.890us         0.03%     161.890us       3.855us            42  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.08%     489.441us         0.14%     846.529us      20.155us     151.391us         0.03%     151.391us       3.605us            42  
