-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     675.146us         0.04%     675.146us       2.648us           255  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     622.925us         0.04%     622.925us       2.433us           256  
                                            aten::fill_         0.83%      13.072ms         1.40%      22.008ms       5.057us     589.805us         0.04%     590.989us       0.136us          4352  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     589.805us         0.04%     589.805us       1.152us           512  
               triton_per_fused_add_mul_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us     571.426us         0.04%     571.426us       2.232us           256  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     532.544us         0.03%     532.544us       2.080us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     491.072us         0.03%     491.072us       1.918us           256  
                                             aten::tanh         0.15%       2.438ms         0.26%       4.133ms      16.143us     486.713us         0.03%     486.713us       1.901us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     486.713us         0.03%     486.713us       1.901us           256  
                                              aten::div         0.23%       3.614ms         0.38%       5.936ms      23.189us     470.817us         0.03%     470.817us       1.839us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     470.817us         0.03%     470.817us       1.839us           256  
                                            aten::where         0.17%       2.675ms         0.42%       6.564ms      25.639us     446.399us         0.03%     446.399us       1.744us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     446.399us         0.03%     446.399us       1.744us           256  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     425.763us         0.03%     425.763us       1.663us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     388.194us         0.02%     388.194us       1.516us           256  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     380.027us         0.02%     380.027us       1.484us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     340.583us         0.02%     340.583us       1.330us           256  
                                              aten::sub         0.23%       3.672ms         0.39%       6.082ms      23.759us     313.571us         0.02%     313.571us       1.225us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     313.571us         0.02%     313.571us       1.225us           256  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     262.971us         0.02%     262.971us       1.027us           256  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     257.857us         0.02%     257.857us       1.007us           256  
                                       cuLaunchKernelEx         0.62%       9.707ms         0.62%       9.707ms       6.090us     199.620us         0.01%     199.620us       0.125us          1594  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.03%     492.944us         0.05%     731.748us      20.326us     141.342us         0.01%     141.342us       3.926us            36  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.04%     628.215us         0.06%     918.509us      24.825us     135.874us         0.01%     135.874us       3.672us            37  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.02%     392.699us         0.04%     684.840us      18.509us     124.864us         0.01%     124.864us       3.375us            37  
                        triton_red_fused_add_rms_norm_2         0.03%     501.568us         0.05%     742.981us      20.081us     114.591us         0.01%     114.591us       3.097us            37  
                                  cudaStreamIsCapturing         0.20%       3.221ms         0.20%       3.221ms       0.699us     112.708us         0.01%     112.708us       0.024us          4608  
                                        cudaEventRecord         0.06%     891.000us         0.06%     891.000us       1.733us      71.264us         0.00%      71.264us       0.139us           514  
