-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                triton_poi_fused_gelu_marlin_gemm_mul_3         0.00%       0.000us         0.00%       0.000us       0.000us     188.607us         0.16%     188.607us       2.245us            84  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     174.846us         0.15%     174.846us      14.570us            12  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.35%     554.585us         0.53%     833.266us      23.146us     162.047us         0.14%     162.047us       4.501us            36  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     162.047us         0.14%     162.047us       4.501us            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     151.680us         0.13%     151.680us       2.446us            62  
                                             bmm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     150.560us         0.13%     150.560us      12.547us            12  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     143.871us         0.12%     143.871us       5.138us            28  
      triton_per_fused_rms_norm_split_with_sizes_view_5         0.26%     403.023us         0.44%     682.410us      18.956us     118.079us         0.10%     118.079us       3.280us            36  
      triton_per_fused_rms_norm_split_with_sizes_view_5         0.00%       0.000us         0.00%       0.000us       0.000us     118.079us         0.10%     118.079us       3.280us            36  
                    triton_poi_fused_gelu_mul_slice_t_1         0.00%       0.000us         0.00%       0.000us       0.000us     113.726us         0.10%     113.726us       2.369us            48  
                             matmul_kernel_persistent_3         0.07%     113.105us         0.10%     159.027us      26.505us      92.960us         0.08%      92.960us      15.493us             6  
                      triton_per_fused_add_rms_norm_t_0         0.00%       0.000us         0.00%       0.000us       0.000us      85.823us         0.07%      85.823us       1.788us            48  
               triton_per_fused_add_mul_rms_norm_view_3         0.02%      35.241us         0.03%      54.173us      27.087us      73.985us         0.06%      73.985us      36.992us             2  
               triton_per_fused_add_mul_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us      73.985us         0.06%      73.985us      36.992us             2  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us      71.203us         0.06%      71.203us       1.978us            36  
                  triton_per_fused_add_mul_rms_norm_t_2         0.00%       0.000us         0.00%       0.000us       0.000us      68.350us         0.06%      68.350us       1.899us            36  
                                              aten::mul         0.06%      91.114us         0.09%     143.616us      23.936us      63.808us         0.05%      63.808us      10.635us             6  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us      61.601us         0.05%      61.601us       5.133us            12  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      60.352us         0.05%      60.352us      15.088us             4  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      59.872us         0.05%      59.872us       4.989us            12  
                       triton_per_fused_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us      55.677us         0.05%      55.677us       1.547us            36  
                                           aten::gather         0.05%      78.914us         0.08%     120.795us      30.199us      43.424us         0.04%      43.424us      10.856us             4  
                                            aten::index         0.21%     333.667us         0.55%     857.450us      85.745us      39.199us         0.03%      54.718us       5.472us            10  
                    triton_poi_fused_gelu_mul_slice_t_1         0.05%      83.823us         0.10%     155.516us      19.440us      35.136us         0.03%      35.136us       4.392us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      34.751us         0.03%      34.751us       2.172us            16  
        triton_poi_fused__to_copy_cat_embedding_mul_t_0         0.00%       0.000us         0.00%       0.000us       0.000us      34.269us         0.03%      34.269us       2.856us            12  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      33.152us         0.03%      33.152us       2.763us            12  
                    triton_red_fused_add_mul_rms_norm_4         0.02%      33.642us         0.05%      71.013us      35.507us      29.952us         0.03%      29.952us      14.976us             2  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      29.952us         0.03%      29.952us      14.976us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.799us         0.02%      24.799us       4.133us             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.349us         0.02%      24.349us       2.029us            12  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us      23.072us         0.02%      23.072us       1.923us            12  
                    triton_per_fused_add_mul_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      22.844us         0.02%      22.844us       1.904us            12  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      19.678us         0.02%      19.678us       1.640us            12  
                      triton_per_fused_add_rms_norm_t_0         0.09%     139.178us         0.13%     210.539us      26.317us      19.200us         0.02%      19.200us       2.400us             8  
                          triton_per_fused_rms_norm_t_1         0.00%       0.000us         0.00%       0.000us       0.000us      18.625us         0.02%      18.625us       1.552us            12  
                       triton_per_fused_rms_norm_view_2         0.00%       0.000us         0.00%       0.000us       0.000us      18.559us         0.02%      18.559us       1.547us            12  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      18.016us         0.02%      18.016us       0.601us            30  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.06%     100.274us         0.10%     150.478us      25.080us      17.952us         0.02%      17.952us       2.992us             6  
                                           aten::argmax         0.05%      75.161us         0.09%     142.576us      71.288us      17.856us         0.02%      17.856us       8.928us             2  
                  triton_per_fused_add_mul_rms_norm_t_2         0.08%     120.795us         0.11%     175.386us      29.231us      17.503us         0.01%      17.503us       2.917us             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.024us         0.01%      17.024us       8.512us             2  
        triton_poi_fused__to_copy_cat_embedding_mul_t_0         0.04%      58.743us         0.05%      85.755us      42.878us      16.736us         0.01%      16.736us       8.368us             2  
                       triton_per_fused_rms_norm_view_3         0.04%      66.114us         0.08%     118.475us      19.746us      11.775us         0.01%      11.775us       1.962us             6  
                triton_red_fused_marlin_gemm_rms_norm_0         0.04%      64.943us         0.06%      93.264us      46.632us       9.024us         0.01%       9.024us       4.512us             2  
                triton_red_fused_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       9.024us         0.01%       9.024us       4.512us             2  
                                     triton_poi_fused_2         0.03%      46.023us         0.04%      63.723us      31.861us       8.769us         0.01%       8.769us       4.384us             2  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       8.769us         0.01%       8.769us       4.384us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.224us         0.01%       8.224us       4.112us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.328us         0.01%       7.328us       3.664us             2  
                                            aten::where         0.04%      68.024us         0.09%     141.307us      35.327us       7.008us         0.01%       7.008us       1.752us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.008us         0.01%       7.008us       1.752us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.912us         0.01%       6.912us       1.728us             4  
                                              aten::div         0.03%      49.711us         0.05%      73.502us      36.751us       6.848us         0.01%       6.848us       3.424us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.848us         0.01%       6.848us       3.424us             2  
                                 aten::_index_put_impl_         0.03%      43.283us         0.08%     129.676us      64.838us       6.752us         0.01%      10.912us       5.456us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.752us         0.01%       6.752us       3.376us             2  
                                              aten::add         0.06%      92.003us         0.09%     147.586us      24.598us       6.241us         0.01%       6.241us       1.040us             6  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.176us         0.01%       6.176us       3.088us             2  
                                     triton_per_fused_1         0.03%      39.492us         0.04%      58.543us      29.272us       6.143us         0.01%       6.143us       3.071us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 156.387ms
Self CUDA time total: 118.542ms

